distid,intid,lunch,enrol,ptr,found,expp,revpp,avgsal,drop,grad,math4,math7,choice,psa,year,staff,avgben,y92,y93,y94,y95,y96,y97,y98,lexpp,lfound,lexpp_1,lfnd_1,lenrol,lenrolsq,lunchsq,lfndsq,math4_1,cmath4,gexpp,gexpp_1,gfound,gfnd_1,clunch,clnchsq,genrol,genrolsq,expp92,lexpp92,math4_92,cpi,rexpp,lrexpp,lrexpp_1,grexpp,grexpp_1
1010,4,36.29999924,1089,,,4227,,31854,7,75.19999695,28.79999924,43.40000153,,,1992,101.1999969,6098,1,0,0,0,0,0,0,8.349247932,,,,6.993015289,48.90226364,1317.689941,,,,,,,,,,,,,,,1.402999997,4835.591797,8.483758926,,,
1010,4,39.20000076,1100,,,4809,,34361,10.10000038,64.69999695,32.29999924,49.29999924,,,1993,99.69999695,8532,0,1,0,0,0,0,0,8.478244781,,8.349247932,,7.003065586,49.04292679,1536.640015,,28.79999924,3.5,0.128996849,,,,2.900001526,218.9500732,0.010050297,0.140663147,4227,8.349247932,28.79999924,1.445000052,5341.484375,8.583258629,8.483758926,0.099499702,
1010,4,38.59999847,1011,,,5214,,32351,12.30000019,58.59999847,39.09999847,36.5,,,1994,110.8000031,9983,0,0,1,0,0,0,0,8.559103012,,8.478244781,,6.91869545,47.86834717,1489.959839,,32.29999924,6.799999237,0.080858231,0.128996849,,,-0.600002289,-46.68017578,-0.084370136,-1.17457962,4227,8.349247932,28.79999924,1.481999993,5646.740723,8.638834,8.583258629,0.055575371,0.099499702
1010,4,37.40999985,995,20.39999962,5245,6019,7186,44852,1.730000019,94.80000305,68,54.70000076,,0,1995,,,0,0,0,1,0,0,0,8.702676773,8.565030098,8.559103012,,6.902742863,47.64785767,1399.508057,73.35974121,39.09999847,28.90000153,0.143573761,0.080858231,,,-1.189998627,-90.45178223,-0.015952587,-0.220489502,4227,8.349247932,28.79999924,1.524000049,6338.907227,8.754461288,8.638834,0.115627289,0.055575371
1010,4,40.79000092,1008,19.10000038,5398,6155,7374,46603,7.369999886,77.40000153,68.40000153,55.40000153,,0,1996,,,0,0,0,0,1,0,0,8.725020409,8.593783379,8.702676773,8.565030098,6.915723324,47.82722855,1663.824219,73.85311127,68,0.400001526,0.022343636,0.143573761,0.028753281,,3.380001068,264.3161621,0.012980461,0.17937088,4227,8.349247932,28.79999924,1.569000006,6296.223633,8.74770546,8.754461288,-0.006755829,0.115627289
1010,4,43.84000015,1066,20.70000076,5553,6134,6859,48170,5.800000191,77.5,49,48,0,,1997,,,0,0,0,0,0,1,0,8.72160244,8.622093201,8.725020409,8.593783379,6.97166872,48.60416412,1921.945557,74.34049225,68.40000153,-19.40000153,-0.003417969,0.022343636,0.028309822,0.028753281,3.049999237,258.1213379,0.055945396,0.776935577,4227,8.349247932,28.79999924,1.605000019,6134,8.72160244,8.74770546,-0.02610302,-0.006755829
1010,4,42.61000061,1058,21.20000076,5707,6476,7094,52033,10.5,65.19999695,75,65,0,,1998,,,0,0,0,0,0,0,1,8.775857925,8.649448395,8.72160244,8.622093201,6.964135647,48.49918365,1815.612183,74.81295776,49,26,0.054255486,-0.003417969,0.027355194,0.028309822,-1.229999542,-106.333374,-0.007533073,-0.104980469,4227,8.349247932,28.79999924,1.629999995,6376.674805,8.760401726,8.72160244,0.038799286,-0.02610302
2010,52,36.40000153,129,,,3445,,23353,,,30,,,,1992,86,6042,1,0,0,0,0,0,0,8.14467907,,,,4.85981226,23.61777496,1324.960083,,,,,,,,,,,,,,,1.402999997,3941.001465,8.279190063,,,
2010,52,38.59999847,126,,,3446,,27303,,,28.60000038,,,,1993,80.5,7136,0,1,0,0,0,0,0,8.144968987,,8.14467907,,4.836281776,23.38962173,1489.959839,,30,-1.399999619,0.000289917,,,,2.199996948,164.9997559,-0.023530483,-0.228153229,3445,8.14467907,30,1.445000052,3827.563965,8.249983788,8.279190063,-0.029206276,
2010,52,52.59999847,126,,,3583,,19598,0,,37.5,0,,,1994,112.6999969,6276,0,0,1,0,0,0,0,8.183956146,,8.144968987,,4.836281776,23.38962173,2766.759766,,28.60000038,8.899999619,0.03898716,0.000289917,,,14,1276.799927,0,0,3445,8.14467907,30,1.481999993,3880.374512,8.263687134,8.249983788,0.013703346,-0.029206276
